label,lat,lng,topic,blurb,year
Ithaca NY (Cornell),42.4534,-76.4735,home,Home base — Cornell Systems Engineering & CAT,2022
New York City,40.7128,-74.006,transportation,Congestion pricing & PM2.5 — npj Clean Air 2025,2025
Boston MA,42.3601,-71.0589,social_infrastructure,Mapping social infrastructure with Google Places API,2022
Northeastern,42.34,-71.0892,resilience,Aldrich Resilience Lab — disaster recovery work,2021
Fukuoka Japan,33.5904,130.4017,social_capital,Fulbright fellowship — social infrastructure pilot,2017
Tohoku Japan,38.4,141.3,disaster,2011 triple-disaster recovery committees,2021
Hokkaido Japan,42.8,141.7,disaster,2018 earthquake evacuation patterns,2021
Kyushu Japan,32.8,130.7,energy,Solar adoption & renewable energy fieldwork,2017
Tokyo Japan,35.6762,139.6503,environment,Tokyo ward emissions & environmental committees,2024
Louisiana USA,30.45,-91.15,disaster,Katrina/Rita recovery policy capstone,2021
Cloverdale CA,38.81,-123.0,disaster,Community resilience case study,2022
Mexico City,19.4326,-99.1332,social_capital,UNDP consulting — social capital measurement,2021
Asunción Paraguay,-25.2637,-57.5759,social_capital,UNDP Accelerator Lab — vulnerability mapping,2021
South Africa,-29.0,24.0,energy,Solar siting comparison case,2021
Florida USA,27.6648,-81.5158,disaster,Hurricane Dorian evacuation analysis,2022
